frame,person_id,x,y,zone
0,1,1001,369,Exit
0,2,987,266,Lobby
0,3,469,500,Escalator
0,4,195,349,Entrance
0,5,794,676,Exit
0,7,524,357,Entrance
0,8,1214,138,Lobby
0,9,818,131,Lobby
0,10,491,209,Entrance
0,11,154,68,Entrance
0,12,741,64,Lobby
0,13,607,101,Entrance
0,14,981,530,Exit
0,15,582,89,Entrance
0,16,547,93,Entrance
0,17,1089,47,Lobby
0,18,55,593,Escalator
0,19,399,222,Entrance
0,20,635,160,Entrance
0,21,79,127,Entrance
0,22,1134,49,Lobby
0,23,792,143,Lobby
0,24,249,46,Entrance
0,25,498,37,Entrance
0,26,1158,120,Lobby
0,28,673,110,Lobby
0,29,1066,47,Lobby
0,30,882,39,Lobby
0,31,1071,46,Lobby
0,32,1256,518,Exit
0,33,1166,96,Lobby
0,34,397,164,Entrance
0,35,1083,47,Lobby
0,36,941,62,Lobby
0,37,1273,100,Lobby
0,38,246,378,Escalator
0,39,324,383,Escalator
0,40,1149,146,Lobby
1,1,1001,369,Exit
1,2,987,266,Lobby
1,3,469,500,Escalator
1,4,195,349,Entrance
1,5,794,676,Exit
1,7,524,357,Entrance
1,8,1214,138,Lobby
1,9,818,131,Lobby
1,10,491,209,Entrance
1,11,154,68,Entrance
1,12,741,64,Lobby
1,13,607,101,Entrance
1,14,981,530,Exit
1,15,582,89,Entrance
1,16,547,93,Entrance
1,17,1089,47,Lobby
1,18,55,593,Escalator
1,19,399,222,Entrance
1,20,635,160,Entrance
1,21,79,127,Entrance
1,22,1134,49,Lobby
1,23,792,143,Lobby
1,24,249,46,Entrance
1,25,498,37,Entrance
1,26,1158,120,Lobby
1,28,673,110,Lobby
1,29,1066,47,Lobby
1,30,882,39,Lobby
1,31,1071,46,Lobby
1,32,1256,518,Exit
1,33,1166,96,Lobby
1,34,397,164,Entrance
1,35,1083,47,Lobby
1,36,941,62,Lobby
1,37,1273,100,Lobby
1,38,246,378,Escalator
1,39,324,383,Escalator
1,40,1149,146,Lobby
2,1,1004,374,Exit
2,2,990,268,Lobby
2,3,472,489,Escalator
2,4,193,350,Entrance
2,5,794,673,Exit
2,7,526,349,Entrance
2,8,1215,140,Lobby
2,9,818,126,Lobby
2,10,491,202,Entrance
2,11,156,65,Entrance
2,12,741,66,Lobby
2,13,609,97,Entrance
2,14,976,531,Exit
2,15,582,88,Entrance
2,16,547,91,Entrance
2,17,1090,47,Lobby
2,19,399,228,Entrance
2,20,635,164,Entrance
2,21,79,127,Entrance
2,22,1134,50,Lobby
2,23,793,141,Lobby
2,24,251,45,Entrance
2,25,497,35,Entrance
2,27,58,596,Escalator
2,28,674,112,Lobby
2,29,1068,47,Lobby
2,30,881,39,Lobby
2,31,1072,46,Lobby
2,32,1253,531,Exit
2,33,1169,89,Lobby
2,34,397,166,Entrance
2,36,942,61,Lobby
2,37,1272,101,Lobby
2,38,248,378,Escalator
2,39,324,383,Escalator
2,40,1148,151,Lobby
3,1,1005,376,Exit
3,2,992,270,Lobby
3,3,472,482,Escalator
3,4,192,350,Entrance
3,5,794,670,Exit
3,7,526,345,Entrance
3,8,1215,143,Lobby
3,9,818,124,Lobby
3,10,492,199,Entrance
3,11,158,62,Entrance
3,12,741,67,Lobby
3,13,609,96,Entrance
3,14,973,530,Exit
3,15,582,88,Entrance
3,16,547,90,Entrance
3,17,1091,47,Lobby
3,19,400,230,Entrance
3,20,635,166,Entrance
3,21,79,127,Entrance
3,22,1135,50,Lobby
3,23,794,140,Lobby
3,24,253,45,Entrance
3,25,496,33,Entrance
3,28,674,113,Lobby
3,29,1069,47,Lobby
3,30,880,38,Lobby
3,31,1074,46,Lobby
3,33,1170,90,Lobby
3,34,397,167,Entrance
3,36,943,61,Lobby
3,37,1272,102,Lobby
3,38,248,377,Escalator
3,39,324,383,Escalator
3,40,1147,154,Lobby
4,1,1006,377,Exit
4,2,993,270,Lobby
4,3,473,476,Escalator
4,4,192,350,Entrance
4,5,794,668,Exit
4,7,526,340,Entrance
4,8,1216,145,Lobby
4,9,818,122,Lobby
4,10,492,198,Entrance
4,11,160,61,Entrance
4,12,741,68,Lobby
4,13,610,97,Entrance
4,14,970,530,Exit
4,15,581,87,Entrance
4,16,547,90,Entrance
4,17,1091,47,Lobby
4,19,400,231,Entrance
4,20,636,167,Entrance
4,21,79,126,Entrance
4,22,1135,50,Lobby
4,23,794,139,Lobby
4,24,255,44,Entrance
4,25,496,32,Entrance
4,28,674,116,Lobby
4,29,1069,47,Lobby
4,30,880,38,Lobby
4,31,1075,46,Lobby
4,33,1171,90,Lobby
4,34,397,168,Entrance
4,36,943,61,Lobby
4,37,1272,102,Lobby
4,38,248,377,Escalator
4,39,323,382,Escalator
4,40,1148,156,Lobby
5,1,1006,377,Exit
5,2,994,271,Lobby
5,3,473,472,Escalator
5,4,192,351,Entrance
5,5,794,666,Exit
5,7,526,337,Entrance
5,8,1216,146,Lobby
5,9,819,121,Lobby
5,10,492,197,Entrance
5,11,160,60,Entrance
5,12,742,69,Lobby
5,13,612,97,Entrance
5,14,969,530,Exit
5,15,581,86,Entrance
5,16,547,89,Entrance
5,17,1092,47,Lobby
5,19,401,230,Entrance
5,20,636,167,Entrance
5,21,79,126,Entrance
5,22,1135,50,Lobby
5,23,794,138,Lobby
5,24,257,44,Entrance
5,25,496,31,Entrance
5,28,675,117,Lobby
5,29,1070,47,Lobby
5,30,880,38,Lobby
5,33,1172,96,Lobby
5,36,943,61,Lobby
5,37,1272,102,Lobby
5,38,249,376,Escalator
5,39,323,382,Escalator
5,40,1149,158,Lobby
5,44,282,390,Escalator
5,32,1250,519,Exit
6,1,1006,378,Exit
6,2,995,273,Lobby
6,3,473,469,Escalator
6,4,191,355,Entrance
6,5,794,664,Exit
6,7,525,335,Entrance
6,8,1217,148,Lobby
6,9,819,120,Lobby
6,10,492,197,Entrance
6,11,163,59,Entrance
6,12,742,70,Lobby
6,13,613,96,Entrance
6,14,967,530,Exit
6,15,581,86,Entrance
